company_id,name,estab_year,employees_count
COM001,Google,1998,1000+
COM002,Hugosave,2019,10-50
COM003,LTIMindtree,1996,1000+
COM004,Dunzo,2014,200-500
COM005,Ivy Homes,2021,0-10
COM006,Applied Materials,1967,1000+
COM007,MediBuddy,2013,1000+
COM008,O4S,2016,50-200
COM009,Refyne,2020,10-50
COM010,Richpanel,2018,10-50
COM011,Jalan Technologies,2016,10-50
COM012,RingCentral,2003,1000+
COM013,Zoomcar,2012,200-500
COM014,Crayon Data,2012,50-200
COM015,Head Digital Works,2005,200-500
COM016,Jupiter,2019,50-200
COM017,ShopSe,2019,50-200
COM018,Univariety,2011,50-200
COM019,Cargill,1900,1000+
COM020,EagleView,2008,0-10
COM021,GoKwik,2020,50-200
COM022,Thence,2012,50-200
COM023,HDFC Life,2000,1000+
COM024,Tranzact,2017,10-50
COM025,upGrad,2015,50-200
COM026,Advanced Business and Healthcare India,2010,1000+
COM027,Arintra,2020,10-50
COM028,DeNovo Systems,2014,10-50
COM029,GlobalLogic,2000,1000+
COM030,InBetween,1992,10-50
COM031,OneCode.in,2019,50-200
COM032,Swimlane,2014,200-500
COM033,Verizon Communications,1983,1000+
COM034,ARi,2006,1000+
COM035,Baygrape Technology Solutions,2016,10-50
COM036,ElectricPe,2021,10-50
COM037,Mashreq Bank,1967,1000+
COM038,Mensa Brands,2017,10-50
COM039,WeRize,2019,50-200
COM040,Zepto,2021,1000+
COM041,ADOS Interiors,2014,10-50
COM042,AHAsolar,2017,10-50
COM043,Asentech,2007,50-200
COM044,Donyati,2015,50-200
COM045,IDP Education,1969,1000+
COM046,Loop Kitchen,2022,0-10
COM047,Volvo Martial Motors,2012,200-500
COM048,7-Eleven,1927,1000+
COM049,Allen Career Institute,1988,1000+
COM050,Bidgely,2010,200-500
COM051,Mystifly,2009,200-500
COM052,NeoSOFT Technologies,1996,1000+
COM053,Quince,2018,50-200
COM054,Sundial,2020,10-50
COM055,Certa,2013,50-200
COM056,Deloitte,1845,1000+
COM057,Emporiom Digital,2014,10-50
COM058,Hewlett Packard Enterprise (HPE),2015,1000+
COM059,Hub,2021,50-200
COM060,Lumen Technologies,1968,1000+
COM061,Scaler Academy,2019,50-200
COM062,TrekNomads,2016,0-10
COM063,Gumlet,2019,10-50
COM064,PACE Group Of Companies,1995,500-1000
COM065,PrivateCircle,2015,10-50
COM066,3 Minds Digital,2016,10-50
COM067,Apexon,1996,1000+
COM068,Neuralgo,2023,0-10
COM069,Playtoome,2016,10-50
COM070,Viacom18,2007,1000+
COM071,Altimetrik,2012,1000+
COM072,Barco,1934,1000+
COM073,BetterPlace,2015,500-1000
COM074,Bizongo,2014,200-500
COM075,CashFlo,2017,10-50
COM076,Level AI,2018,10-50
COM077,UnionSys Technologies,2008,50-200
COM078,DevRev,2020,10-50
COM079,Hi-Tech Robotic Systemz,2014,500-1000
COM080,Infosys,1981,1000+
COM081,Integral Technologies,2022,0-10
COM082,Jodo,2020,10-50
COM083,Niro,2021,10-50
COM084,Nucleus Software,1986,1000+
COM085,Capri Global Capital,1997,500-1000
COM086,Chargeup,2019,10-50
COM087,Delta Air Lines,1928,1000+
COM088,Flatworld Solutions,2002,1000+
COM089,Paperflite,2016,50-200
COM090,Colmore,2017,50-200
COM091,Delta,2017,0-10
COM092,Mahindra Insurance Brokers,2004,500-1000
COM093,Nab,1981,1000+
COM094,Owens & Minor,1882,1000+
COM095,Y Media Labs,2009,200-500
COM096,Aerchain,2016,10-50
COM097,Motilal Oswal Financial Services,1987,1000+
COM098,Predators Network,2017,0-10
COM099,sentra.world,2023,0-10
COM100,VMware,1998,1000+
COM101,3M,1902,1000+
COM102,Aavenir,2019,10-50
COM103,DAZN,2007,1000+
COM104,Spendflo,2020,10-50
COM105,The Famous,2021,0-10
COM106,Angel One,1987,1000+
COM107,Brandtorch,2019,10-50
COM108,LeadSquared,2012,200-500
COM109,One Muthoot,2016,1000+
COM110,OnGrid,2016,200-500
COM111,OYO Rooms,2013,1000+
